nnet,dataset,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,iris,3.0839,0.8863,5.3631,2.4694,0.0033,0.0022,2.2792
BasicNN,wine,3.0527,0.9027,6.4208,3.3492,0.0042,0.0022,3.3681
BasicNN,breast_cancer,1.9675,0.6093,inf,,0.0073,0.0021,inf
BasicNN,heart,5.1219,1.8066,11.322,5.5038,0.0073,0.0022,6.2001
RandomNN,iris,2.1938,0.241,2.2087,0.2875,0.0031,0.001,0.0149
RandomNN,wine,2.17,0.2003,2.2009,0.2321,0.0033,0.001,0.0309
RandomNN,breast_cancer,1.4327,0.1544,1.4279,0.1744,0.0071,0.0028,0.0048
RandomNN,heart,3.2823,0.6111,3.2756,0.6199,0.0059,0.0025,0.0067
StrategyNN,iris,2.1246,0.2746,2.1635,0.3214,22.6945,1.0703,0.0389
StrategyNN,wine,2.1686,0.2664,2.1635,0.2656,27.5046,1.4561,0.0051
StrategyNN,breast_cancer,1.4036,0.1695,1.4094,0.1793,3.5718,0.2082,0.0058
StrategyNN,heart,3.3793,0.779,3.3767,0.7993,4.2725,0.2334,0.0026
GeneticNN,iris,1.6613,0.1023,1.6775,0.1366,35.8627,2.5753,0.0162
GeneticNN,wine,1.8569,0.0574,1.8798,0.0899,43.5808,3.3569,0.0229
GeneticNN,breast_cancer,1.073,0.0921,1.0736,0.1114,4.8825,0.3014,0.0006
GeneticNN,heart,2.2651,0.1065,2.289,0.1868,6.039,0.4258,0.0239
AnnealedNN,iris,3.242,1.8278,4.8615,2.5887,0.0129,0.0007,1.6195
AnnealedNN,wine,3.3972,1.9026,5.4808,3.2966,0.0161,0.001,2.0836
AnnealedNN,breast_cancer,2.4561,1.9719,4.1038,2.5332,0.0146,0.0009,1.6477
AnnealedNN,heart,5.7829,3.2704,7.8181,4.0871,0.018,0.0014,2.0352
