group1,group2,meandiff,p-adj,lower,upper,reject
basic_training,es_training,-1.5322,0.001,-1.8074,-1.2569,True
basic_training,ga_training,-2.189,0.001,-2.4642,-1.9137,True
basic_training,randomnn_training,-1.4445,0.001,-1.7198,-1.1693,True
basic_training,sa_training,0.3615,0.0032,0.0863,0.6367,True
es_training,ga_training,-0.6568,0.001,-0.932,-0.3816,True
es_training,randomnn_training,0.0876,0.9,-0.1876,0.3628,False
es_training,sa_training,1.8937,0.001,1.6184,2.1689,True
ga_training,randomnn_training,0.7444,0.001,0.4692,1.0196,True
ga_training,sa_training,2.5505,0.001,2.2752,2.8257,True
randomnn_training,sa_training,1.806,0.001,1.5308,2.0813,True
