group1,group2,meandiff,p-adj,lower,upper,reject
basic_training,es_training,-2.0622,0.001,-2.3118,-1.8127,True
basic_training,ga_training,-2.3422,0.001,-2.5917,-2.0926,True
basic_training,randomnn_training,-1.6839,0.001,-1.9334,-1.4343,True
basic_training,sa_training,-0.0331,0.9,-0.2826,0.2165,False
es_training,ga_training,-0.2799,0.0189,-0.5295,-0.0304,True
es_training,randomnn_training,0.3784,0.001,0.1288,0.6279,True
es_training,sa_training,2.0292,0.001,1.7796,2.2787,True
ga_training,randomnn_training,0.6583,0.001,0.4087,0.9078,True
ga_training,sa_training,2.3091,0.001,2.0596,2.5587,True
randomnn_training,sa_training,1.6508,0.001,1.4013,1.9004,True
